id,student_info_id,father_name,father_occupation,father_phone,mother_name,mother_occupation,mother_phone,guardian_name,guardian_relationship,guardian_phone,created_at,updated_at,deleted_at
,C00-0001,Brandon Hernandez,"Production assistant, radio",9007172042,Erika Scott,Research scientist (life sciences),9246254114,,,,33:38.0,33:38.0,
,C00-0002,Roy Valencia,Youth worker,9747456768,Michelle Anderson,"Teacher, primary school",9644554854,,,,33:38.0,33:38.0,
,C00-0003,Michael Steele,Estate agent,9543822405,Natalie Lamb,Estate agent,9635602466,,,,33:38.0,33:38.0,
,C00-0004,Tanner Peterson,Public relations officer,9047056393,Amber Murray,Land,9790247752,,,,33:38.0,33:38.0,
,C00-0005,,,,,,,Kelly Jackson,Uncle,9564399108,33:38.0,33:38.0,
,C00-0006,Shawn Smith,Diplomatic Services operational officer,9543758154,Jessica Smith,"Psychologist, prison and probation services",9403338977,,,,33:38.0,33:38.0,
,C00-0007,,,,,,,Jessica Andrews,Grandparent,9736743590,33:38.0,33:38.0,
,C00-0008,Benjamin Ashley,Sub,9664308845,Mia Meyers,"Engineer, civil (contracting)",9349001087,,,,33:38.0,33:38.0,
,C00-0009,Brandon Smith,Industrial buyer,9849978830,Gina Stewart,Materials engineer,9948075687,,,,33:38.0,33:38.0,
,C00-0010,,,,,,,Steven Martin,Aunt,9571275415,33:38.0,33:38.0,
,C00-0011,Robert Smith,Holiday representative,9212257874,Lisa Rose,Garment/textile technologist,9801753423,,,,33:38.0,33:38.0,
,C00-0012,,,,,,,Derrick Bryant,Uncle,9843643984,33:38.0,33:38.0,
,C00-0013,,,,,,,William Wilson,Uncle,9530628060,33:38.0,33:38.0,
,C00-0014,Larry Jacobson,Pharmacologist,9763183711,Karen Taylor,Dealer,9839027435,,,,33:38.1,33:38.1,
,C00-0015,Evan Grant,Furniture conservator/restorer,9085648802,Nicole Dunn,Broadcast presenter,9738878773,,,,33:38.1,33:38.1,
,C00-0016,Edward Smith,Advice worker,9512552277,Kaitlin Grant,Careers information officer,9759333731,,,,33:38.1,33:38.1,
,C00-0017,David Perez,Data scientist,9912864828,Brooke Franklin,"Engineer, drilling",9497204382,,,,33:38.1,33:38.1,
,C00-0018,Mr. Jack Clark,"Engineer, civil (contracting)",9662038161,Caitlin Mercer,Building control surveyor,9071766171,,,,33:38.1,33:38.1,
,C00-0019,Robert Johnson,Insurance underwriter,9076584554,Dr. Marissa Mccall DDS,Maintenance engineer,9083824592,,,,33:38.1,33:38.1,
,C00-0020,Seth Wright,General practice doctor,9812078415,Jennifer Holmes,Operations geologist,9489985578,,,,33:38.1,33:38.1,
,C00-0021,Aaron Jones,Geoscientist,9332021405,Donna Brown,Futures trader,9541802320,,,,33:38.1,33:38.1,
,C00-0022,Christian Pearson,Warden/ranger,9266379557,Maria Phelps,Building surveyor,9592738292,,,,33:38.1,33:38.1,
,C00-0023,Joseph Willis,Barista,9502489181,Rebekah Sutton,Occupational therapist,9864079807,,,,33:38.1,33:38.1,
,C00-0024,,,,,,,Robert Sampson,Grandparent,9857424683,33:38.1,33:38.1,
,C00-0025,Austin Murphy,Chief of Staff,9652873321,Beth Ballard,Aid worker,9827392013,,,,33:38.1,33:38.1,
,C00-0026,Gary Walker,Recruitment consultant,9518615248,Kelly Carpenter,Ophthalmologist,9521440038,,,,33:38.1,33:38.1,
,C00-0027,Michael Schmidt,Chief of Staff,9976601027,Susan Campbell,"Editor, film/video",9973035896,,,,33:38.1,33:38.1,
,C00-0028,,,,,,,Robert Townsend,Uncle,9395733501,33:38.1,33:38.1,
,C00-0029,Trevor Johnson,"Accountant, chartered certified",9088100043,Marissa Ramos,Operational investment banker,9257228613,,,,33:38.1,33:38.1,
,C00-0030,William Young,Clinical cytogeneticist,9579008011,Carla Sullivan,Research scientist (life sciences),9017375953,,,,33:38.1,33:38.1,
,C00-0031,Keith Martinez,Financial risk analyst,9421764583,Wendy Barnes,Armed forces training and education officer,9287458665,,,,33:38.1,33:38.1,
,C00-0032,,,,,,,Chad Pineda,Grandparent,9882524141,33:38.1,33:38.1,
