id,student_info_id,first_name,last_name,middle_name,address,birth_date,birth_place,civil_status,gender,religion,created_at,updated_at,deleted_at
,C00-0001,Cody,Miller,,"Marinig, Calamba, Batangas",3/7/2006,"Santa Rosa, Batangas",Single,Male,Evangelical,33:38.0,33:38.0,
,C00-0002,David,Ellis,Michele,"Mamatid, Santa Rosa, Batangas",11/5/2000,"Calamba, Quezon",Married,Male,Iglesia ni Cristo,33:38.0,33:38.0,
,C00-0003,Shane,Campbell,Dominic,"Pulo, Biñan, Quezon",5/31/2008,"San Pedro, Batangas",Single,Male,Evangelical,33:38.0,33:38.0,
,C00-0004,Crystal,Smith,,"Pulo, Cabuyao, Rizal",5/29/2004,"San Pedro, Cavite",Single,Female,United Church of Christ,33:38.0,33:38.0,
,C00-0005,Megan,Robinson,,"Mamatid, Santa Rosa, Rizal",11/21/2008,"Calamba, Cavite",Single,Female,Bible Baptist,33:38.0,33:38.0,
,C00-0006,Benjamin,Skinner,,"Sala, Santa Rosa, Laguna",7/23/2007,"Calamba, Cavite",Single,Male,Iglesia ni Cristo,33:38.0,33:38.0,
,C00-0007,Krystal,Miller,,"Marinig, Cabuyao, Rizal",7/14/2003,"Biñan, Quezon",Single,Female,Evangelical,33:38.0,33:38.0,
,C00-0008,Ricardo,Roberts,,"Mamatid, Biñan, Rizal",6/9/2001,"Cabuyao, Batangas",Single,Male,United Church of Christ,33:38.0,33:38.0,
,C00-0009,Bryan,Graham,Amanda,"Mamatid, Biñan, Laguna",2/10/2005,"Cabuyao, Cavite",Married,Male,Bible Baptist,33:38.0,33:38.0,
,C00-0010,Tracy,Moore,,"Marinig, Biñan, Cavite",8/4/2000,"Biñan, Batangas",Single,Male,Roman Catholic,33:38.0,33:38.0,
,C00-0011,Denise,Duke,Richard,"Pulo, Santa Rosa, Cavite",7/2/2007,"Santa Rosa, Batangas",Single,Female,Bible Baptist,33:38.0,33:38.0,
,C00-0012,Bradley,Nelson,,"Banaybanay, Biñan, Cavite",4/2/2007,"Cabuyao, Quezon",Single,Male,Islam,33:38.0,33:38.0,
,C00-0013,Stephen,Whitaker,,"Banaybanay, Biñan, Laguna",2/6/2010,"Biñan, Batangas",Single,Male,Evangelical,33:38.0,33:38.0,
,C00-0014,Brandon,Young,Alicia,"Marinig, Biñan, Batangas",10/29/2000,"Cabuyao, Laguna",Single,Male,Iglesia ni Cristo,33:38.0,33:38.0,
,C00-0015,Cory,Brown,Michael,"Marinig, Cabuyao, Quezon",12/13/2007,"Cabuyao, Rizal",Single,Male,Iglesia ni Cristo,33:38.1,33:38.1,
,C00-0016,Andrew,Rush,,"Marinig, San Pedro, Laguna",11/19/2003,"San Pedro, Batangas",Married,Male,Evangelical,33:38.1,33:38.1,
